"X1","X2"
"Nfasc",0.861489006180755
"Nfasc",0.200880966404671
"Nfasc",0.660661838639908
"Plekha6",0.139832671816071
"Plekha6",0.860167328183929
"Zc3h11a",0.577126378501711
"Atp2b4",0.0673262564905671
"Chit1",0.311473184968989
"Adora1",0.443169785531389
"Adora1",8.47927640595948e-05
"Adora1",0.999808704143823
"Adora1",0.273590088027519
"Adora1",0.459419159766245
"Adora1",0.999774917136443
"Tmem183a",0.308363167400483
"Tmem183a",0.691636832599517
"Ube2t",0.999958348042769
"Elf3",0.508490684705586
"Rnpep",0.946666687154461
"Cacna1s",1.88610412721861e-06
"Ptprc",0.999434816257936
"Gm4788",0.000729416093131768
"Rgs21",8.45308840590668e-05
"Pdc",0.0156232461684819
"BC003331",0.999984525024589
"Prg4",0.855767010893325
